"jam,biscuit,chocolate"
"biscuit,butter"
"biscuit,milk"
"jam,biscuit,butter"
"jam,milk"
"biscuit,milk"
"jam,milk"
"jam,biscuit,milk,chocolate"
"jam,biscuit,milk"
"bread,butter,eggs"
"bread,milk,eggs"
"cereal,milk,banana"
"rice,olive oil,salt"
"pasta,tomato sauce,cheese"
"tomato,onion,garlic"
"potato,onion,carrot"
"chicken,rice,pepper"
"beef,potato,onion"
"fish,lemon,butter"
"yogurt,granola,honey"
"coffee,sugar,cream"
"tea,sugar,lemon"
"apple,banana,orange"
"lettuce,tomato,cucumber"
"spinach,feta,olive oil"
"bread,jam,butter"
"bread,cheese,ham"
"biscuit,tea,coffee"
"chocolate,ice cream,cream"
"cookies,milk"
"peanut butter,jam,bread"
"oats,milk,banana"
"flour,sugar,butter"
"salt,pepper,olive oil"
"garlic,ginger,coriander"
"frozen peas,carrots,chicken"
"frozen pizza,cheese,tomato sauce"
"soda,chips"
"juice,apple"
"beer,chips"
"wine,cheese,crackers"
"toothpaste,toothbrush,mouthwash"
"shampoo,soap,conditioner"
"detergent,softener"
"napkins,paper towels"
"eggs,bacon,bread"
"ham,cheese,bread"
"milk,eggs,flour"
"yogurt,berries,granola"
"nuts,dried fruit"
"almonds,raisins"
"cucumber,carrot,celery"
"mushrooms,cream,garlic"
"salsa,tortilla chips,cheese"
"beans,rice,onion"
"lentils,tomato,spices"
"olive oil,vinegar,mustard"
"mayonnaise,lettuce,tomato"
"chicken,lettuce,mayonnaise"
"beef,tomato,cheese"
"fish,garlic,olive oil"
"potato,sour cream,cheese"
"spinach,eggs,cheese"
"banana,yogurt,honey"
"apple,peanut butter"
"protein bar,juice"
"granola,milk"
"frozen berries,yogurt,oats"
"cereal,bread,milk"
"pasta,olive oil,parmesan"
"rice,beans,salsa"
"sugar,tea,coffee"
"cola,ice cream"
"butter,flour,sugar"
"chicken,pepper,salt"
"toilet paper,napkins"
"soap,hand sanitizer"
"chocolate,cookies,tea"
"biscuit,coffee,milk"
"bread,butter,jam"
"rice,olive oil,chicken"
"eggs,milk,bread"
"cheese,crackers,grapes"
"lettuce,avocado,tomato"
"avocado,bread,egg"
"lime,cilantro,tortilla"
"honey,lemon,ginger"
